成交时间,证券代码,买卖标志,成交价格,成交数量,成交金额,成交编号,账户ID,日期
94200,600622,买入,11.22,100,1122,1748406.00 ,680135528,20170430
94200,600172,买入,5.07,200,1014,1748419.00 ,680135528,20170430
94200,2439,买入,23.76,300,7128,101000002469655.00 ,680135528,20170430
94200,300365,买入,20.72,100,2072,104000002553053.00 ,680135528,20170430
94200,600614,买入,7.39,200,1478,1748518.00 ,680135528,20170430
94200,600967,买入,11.65,400,4660,1748580.00 ,680135528,20170430
94200,600260,买入,30.68,300,9204,1748492.00 ,680135528,20170430
94200,702,买入,6.36,100,636,103000002508515.00 ,680135528,20170430
94200,2589,买入,13.38,200,2676,101000002469889.00 ,680135528,20170430
94200,600810,买入,13.51,700,9457,1748510.00 ,680135528,20170430
94200,603722,买入,40.5,100,4050,1748668.00 ,680135528,20170430
94200,300298,买入,23.76,100,2376,104000002553449.00 ,680135528,20170430
94200,300298,买入,23.77,100,2377,104000002553451.00 ,680135528,20170430
94200,2240,买入,14.7,100,1470,102000002509766.00 ,680135528,20170430
94200,426,买入,7.29,100,729,103000002508890.00 ,680135528,20170430
94200,601599,买入,5.13,100,513,1748676.00 ,680135528,20170430
94200,300160,买入,5.21,100,521,104000002553641.00 ,680135528,20170430
94200,600311,买入,4.05,300,1215,1748920.00 ,680135528,20170430
94200,975,买入,16.02,100,1602,101000002470384.00 ,680135528,20170430
94200,2271,买入,35.35,100,3535,103000002509147.00 ,680135528,20170430
94200,300039,买入,6.78,700,4746,104000002553810.00 ,680135528,20170430
94200,2522,买入,10.35,200,2070,104000002553935.00 ,680135528,20170430
94200,2091,买入,7.47,400,2988,104000002554166.00 ,680135528,20170430
94200,600763,买入,46.4,100,4640,1749198.00 ,680135528,20170430
94200,600256,买入,4.25,600,2550,1748943.00 ,680135528,20170430
94200,300081,买入,13.06,100,1306,102000002510475.00 ,680135528,20170430
94200,600572,买入,7.28,1000,7280,1749288.00 ,680135528,20170430
94200,2477,买入,3.62,100,362,104000002554424.00 ,680135528,20170430
94200,961,买入,7.27,400,2908,102000002510683.00 ,680135528,20170430
94200,2886,买入,33,100,3300,104000002554473.00 ,680135528,20170430
94200,601228,买入,5.82,200,1164,1749143.00 ,680135528,20170430
94200,2663,买入,3.61,200,722,104000002554830.00 ,680135528,20170430
94200,600711,买入,10.7,200,2140,1749363.00 ,680135528,20170430
94200,600755,买入,8.33,300,2499,1749430.00 ,680135528,20170430
94200,2929,买入,47.8,100,4780,103000002510281.00 ,680135528,20170430
94200,829,买入,8.55,300,2565,104000002554935.00 ,680135528,20170430
94200,2094,买入,22.7,100,2270,101000002471522.00 ,680135528,20170430
94200,603709,买入,30.47,100,3047,1749767.00 ,680135528,20170430
94201,2154,买入,3.37,100,337,103000002510345.00 ,680135528,20170430
94200,600366,买入,7.73,200,1546,1749782.00 ,680135528,20170430
94200,600416,买入,8.42,100,842,1749783.00 ,680135528,20170430
94201,2366,买入,16.5,100,1650,104000002555339.00 ,680135528,20170430
94201,525,买入,19.64,200,3928,103000002510591.00 ,680135528,20170430
94201,2422,买入,32.46,200,6492,104000002555432.00 ,680135528,20170430
94201,2382,买入,21.05,300,6315,104000002555487.00 ,680135528,20170430
94201,300700,买入,53.75,100,5375,102000002511856.00 ,680135528,20170430
94201,999,买入,27.8,300,8340,101000002472264.00 ,680135528,20170430
94201,663,买入,9.13,300,2739,102000002511990.00 ,680135528,20170430
94201,2332,买入,9.15,300,2745,102000002512036.00 ,680135528,20170430
94201,2269,买入,3.16,600,1896,104000002555837.00 ,680135528,20170430
94201,2157,买入,4.88,100,488,104000002555864.00 ,680135528,20170430
94201,2506,买入,5.07,300,1521,101000002472518.00 ,680135528,20170430
94201,882,买入,2.92,700,2044,102000002512389.00 ,680135528,20170430
94201,2676,买入,3.78,200,756,103000002511413.00 ,680135528,20170430
94201,300147,买入,9.59,200,1918,103000002511425.00 ,680135528,20170430
94201,49,买入,31.18,100,3118,101000002472791.00 ,680135528,20170430
94201,603533,买入,38.92,100,3892,1750385.00 ,680135528,20170430
94201,2465,买入,9.63,200,1926,104000002556326.00 ,680135528,20170430
94201,300415,买入,9.87,100,987,104000002556393.00 ,680135528,20170430
94201,600789,买入,10.26,1000,10260,1750653.00 ,680135528,20170430
94201,78,买入,5.55,500,2775,104000002556842.00 ,680135528,20170430
94201,2129,买入,9.67,100,967,101000002473510.00 ,680135528,20170430
94201,2234,买入,13.23,300,3969,101000002473803.00 ,680135528,20170430
