[1]SecuCode|[2]TradingDay|[3]PrevClosePrice|[4]OpenPrice|[5]HighPrice|[6]LowPrice|[7]ClosePrice|[8]TurnoverVolume|[9]TurnoverValue|[10]SecuMarket|[11]SecuCategory|[12]ListedDate|[13]TradeState|[14]SpecialTradeType|[15]Split|[16]Dividend|[17]ActualPlaRatio|[18]PlaPrice|[19]BaseShares|[20]ActualPlaVol|[21]TotalShares|[22]TotalFloatShares|[23]SecuName|[24]ChiName
000017.SZE|20180102|6.2|6.18|6.27|6.18|6.26|1177318|7343897.5|SZE|A|19920331|trade|0|1.0|0.0|0.0|0.0|0|0|302984965|302980258|深中华A|深圳中华自行车(集团)股份有限公司
000018.SZE|20180102|6.12|6.24|6.26|6.14|6.19|7704400|47677027.4|SZE|A|19920616|trade|0|1.0|0.0|0.0|0.0|0|0|1434441780|753766344|神州长城|神州长城股份有限公司
000019.SZE|20180102|12.15|0.0|0.0|0.0|12.15|0|0.0|SZE|A|19921012|suspend|0|1.0|0.0|0.0|0.0|0|0|445033023|415964578|深深宝A|深圳市深宝实业股份有限公司
000020.SZE|20180102|14.15|14.18|14.4|14.12|14.33|1034900|14766717.0|SZE|A|19920428|trade|0|1.0|0.0|0.0|0.0|0|0|181165391|181165391|深华发A|深圳中恒华发股份有限公司
000021.SZE|20180102|9.73|9.86|9.9|9.65|9.83|24814248|243375639.3|SZE|A|19940202|trade|0|1.0|0.0|0.0|0.0|0|0|1471259363|1469270814|深科技|深圳长城开发科技股份有限公司
000022.SZE|20180102|24.14|0.0|0.0|0.0|24.14|0|0.0|SZE|A|19930505|suspend|0|1.0|0.0|0.0|0.0|0|0|464868300|464866050|深赤湾A|深圳赤湾港航股份有限公司
000023.SZE|20180102|20.53|20.41|20.97|20.32|20.78|1722078|35543144.9|SZE|A|19930429|trade|0|1.0|0.0|0.0|0.0|0|0|138756240|138756240|深天地A|深圳市天地(集团)股份有限公司
000025.SZE|20180102|38.51|38.15|38.9|38.15|38.82|1536660|59397197.6|SZE|A|19930621|trade|0|1.0|0.0|0.0|0.0|0|0|270881600|193881600|特力A|深圳市特力(集团)股份有限公司
000026.SZE|20180102|11.42|11.29|11.4|11.25|11.29|2431976|27524949.5|SZE|A|19930603|trade|0|1.0|0.0|0.0|0.0|0|0|357096881|357047148|飞亚达A|飞亚达(集团)股份有限公司
000027.SZE|20180102|6.06|6.07|6.11|6.06|6.1|5963370|36302962.2|SZE|A|19930903|trade|0|1.0|0.0|0.0|0.0|0|0|3964491597|3964491597|深圳能源|深圳能源集团股份有限公司
000028.SZE|20180102|60.25|60.32|61.71|60.03|61.52|1621307|98873435.9|SZE|A|19930809|trade|0|1.0|0.0|0.0|0.0|0|0|373241383|307744355|国药一致|国药集团一致药业股份有限公司
000029.SZE|20180102|11.17|0.0|0.0|0.0|11.17|0|0.0|SZE|A|19930915|suspend|0|1.0|0.0|0.0|0.0|0|0|891660000|891660000|深深房A|深圳经济特区房地产(集团)股份有限公司
000030.SZE|20180102|8.11|8.11|8.17|8.07|8.14|4824173|39206572.7|SZE|A|19930929|trade|0|1.0|0.0|0.0|0.0|0|0|1259095140|1252245577|富奥股份|富奥汽车零部件股份有限公司
000031.SZE|20180102|8.0|0.0|0.0|0.0|8.0|0|0.0|SZE|A|19931008|suspend|0|1.0|0.0|0.0|0.0|0|0|1813731596|1813722958|中粮地产|中粮地产(集团)股份有限公司
000032.SZE|20180102|10.06|0.0|0.0|0.0|10.06|0|0.0|SZE|A|19931028|suspend|0|1.0|0.0|0.0|0.0|0|0|422254134|279435887|深桑达A|深圳市桑达实业股份有限公司
000034.SZE|20180102|21.6|0.0|0.0|0.0|21.6|0|0.0|SZE|A|19940509|suspend|0|1.0|0.0|0.0|0.0|0|0|654070434|357969933|神州数码|神州数码集团股份有限公司
000035.SZE|20180102|6.72|0.0|0.0|0.0|6.72|0|0.0|SZE|A|19940408|suspend|0|1.0|0.0|0.0|0.0|0|0|1351521423|1168125821|中国天楹|中国天楹股份有限公司
000036.SZE|20180102|9.04|9.0|9.41|9.0|9.31|19918690|184953106.8|SZE|A|19940617|trade|0|1.0|0.0|0.0|0.0|0|0|1141487712|1135480212|华联控股|华联控股股份有限公司
000037.SZE|20180102|7.14|7.0|7.09|6.72|7.04|2506810|17544100.1|SZE|A|19940701|trade|0|1.0|0.0|0.0|0.0|0|0|338908150|338895157|深南电A|深圳南山热电股份有限公司
000038.SZE|20180102|20.77|20.93|20.98|20.31|20.98|2709616|56188822.8|SZE|A|19940808|trade|0|1.0|0.0|0.0|0.0|0|0|522777419|78879029|深大通|深圳大通实业股份有限公司
000039.SZE|20180102|22.85|22.75|23.19|22.56|22.88|33357561|763867524.6|SZE|A|19940408|trade|0|1.0|0.0|0.0|0.0|0|0|1265412327|1264684301|中集集团|中国国际海运集装箱(集团)股份有限公司
000040.SZE|20180102|14.05|14.06|14.19|13.7|13.9|2412300|33493897.9|SZE|A|19940808|trade|0|1.0|0.0|0.0|0.0|0|0|1337173272|1060340670|东旭蓝天|东旭蓝天新能源股份有限公司
000042.SZE|20180102|16.23|16.2|16.48|16.2|16.47|454485|7466210.8|SZE|A|19940921|trade|0|1.0|0.0|0.0|0.0|0|0|664831139|487996480|中洲控股|深圳市中洲投资控股股份有限公司
000043.SZE|20180102|9.71|9.75|9.93|9.72|9.9|3136182|30894568.5|SZE|A|19940928|trade|0|1.0|0.0|0.0|0.0|0|0|666961416|666780666|中航地产|中航地产股份有限公司
000045.SZE|20180102|9.75|9.79|9.84|9.71|9.82|2182553|21359064.3|SZE|A|19940815|trade|0|1.0|0.0|0.0|0.0|0|0|461774149|457021849|深纺织A|深圳市纺织(集团)股份有限公司
000046.SZE|20180102|7.46|7.46|7.72|7.44|7.58|3281918|24938090.3|SZE|A|19940912|trade|0|1.0|0.0|0.0|0.0|0|0|5196200656|5091664984|泛海控股|泛海控股股份有限公司
000048.SZE|20180102|20.06|20.09|20.16|19.77|20.11|217911|4366248.0|SZE|A|19941101|trade|0|1.0|0.0|0.0|0.0|0|0|390768671|385392267|康达尔|深圳市康达尔(集团)股份有限公司
000049.SZE|20180102|39.59|39.91|40.18|39.22|39.78|3197416|126769960.8|SZE|A|19950320|trade|0|1.0|0.0|0.0|0.0|0|0|205243738|205243738|德赛电池|深圳市德赛电池科技股份有限公司
000050.SZE|20180102|19.71|19.76|19.94|19.56|19.91|18211966|359802990.2|SZE|A|19950315|trade|0|1.0|0.0|0.0|0.0|0|0|1401098744|1401016169|深天马A|天马微电子股份有限公司
000055.SZE|20180102|6.06|6.07|6.18|6.06|6.15|5365410|32841955.1|SZE|A|19960415|trade|0|1.0|0.0|0.0|0.0|0|0|679715472|678243800|方大集团|方大集团股份有限公司
000056.SZE|20180102|13.27|0.0|0.0|0.0|13.27|0|0.0|SZE|A|19960708|suspend|0|1.0|0.0|0.0|0.0|0|0|931293708|286111180|皇庭国际|深圳市皇庭国际企业股份有限公司
